Team,Pitch,Date of Next Open,Winner?,PT,SL
Gamma,COST,1/17/2023,Yes,150,105
Vega,TSLA,1/17/2023,No,200,113
Delta,RMT,1/17/2023,No,10,8.5
Theta,AA,1/17/2023,No,60,35
Gamma,AAL,2/27/2023,No,16.8,12
Vega,T,2/27/2023,Yes,21,17
Delta,M,2/27/2023,No,24,15
Theta,NH,2/27/2023,No,5,2
Gamma,NRP,3/27/2023,No,64.51,41
Vega,VRTX,3/27/2023,Yes,365,280.97
Delta,PANW,3/27/2023,No,227,162.81
Theta,C,3/27/2023,No,81.65,0
Delta,ABG,4/17/2023,No,272.74,0
Theta,ACI,4/17/2023,No,27.65,17.5
Vega,NUE,4/17/2023,Yes,191.23,0
Gamma,FTNT,4/17/2023,No,90.04,57.3
Gamma,KO,6/5/2023,No,,
Vega,MAR,6/5/2023,No,,
Delta,GD,6/5/2023,Yes,,
Theta,PARA,6/5/2023,No,,
,,,,,
